Company Name,Customer Class,Product,Effective Start Date (mm/dd/yyyy),Effective End Date(mm/dd/yyyy),Contract Length(months),Natural Gas $/GJ,Service Area
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","01/01/2002","01/31/2002","1",="3.54","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","01/01/2003","01/31/2003","1",="7.02","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","01/01/2004","01/31/2004","1",="7.58","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","01/01/2005","01/31/2005","1",="7.19","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","01/01/2006","01/31/2006","1",="15.04","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","01/01/2007","01/31/2007","1",="7.46","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","01/01/2008","01/31/2008","1",="6.71","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","01/01/2009","01/31/2009","1",="6.09","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","01/01/2010","01/31/2010","1",="5.73","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","01/01/2011","01/31/2011","1",="3.94","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","01/01/2012","01/31/2012","1",="2.95","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","01/01/2013","01/31/2013","1",="2.82","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","01/01/2014","01/31/2014","1",="4.09","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","01/01/2015","01/31/2015","1",="3.25","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","01/01/2016","01/31/2016","1",="2","ATCO Gas North"
"Direct Energy Regulated Services","Home","Regulated Gas Rate January 2017","01/01/2017","01/31/2017","0",="3.745","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home","Regulated Gas Rate January 2018","01/01/2018","01/31/2018","0",="1.911","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate January 2019","01/01/2019","01/31/2019","0",="1.515","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate January 2020","01/01/2020","01/31/2020","0",="2.259","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate January 2021","01/01/2021","01/31/2021","0",="2.784","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate Jan 2022","01/01/2022","01/31/2022","0",="3.893","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate January 2023","01/01/2023","01/31/2023","0",="6.446","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate January2024","01/01/2024","01/31/2024","0",="2.173","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","02/01/2002","02/28/2002","1",="3.54","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","02/01/2003","02/28/2003","1",="7.19","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","02/01/2004","02/29/2004","1",="6.64","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","02/01/2005","02/28/2005","1",="5.98","ATCO Gas North"
